ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
336,Arif Yadulla Abdullayev,M,27.0,164.0,60.0,Azerbaijan,AZE,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Bantamweight, Freestyle",
339,Namiq Yadulla Abdullayev,M,25.0,167.0,55.0,Azerbaijan,AZE,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Flyweight, Freestyle",Silver
1126,Vilayt Aayev,M,24.0,168.0,62.0,Azerbaijan,AZE,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",
2790,Elad Ahad Allahverdiyev,M,23.0,176.0,76.0,Azerbaijan,AZE,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Lightweight, Freestyle",
5724,rad Suleyman Aumova,F,38.0,158.0,57.0,Azerbaijan,AZE,1996 Summer,1996,Summer,Atlanta,Shooting,"Shooting Women's Air Pistol, 10 metres",
5724,rad Suleyman Aumova,F,38.0,158.0,57.0,Azerbaijan,AZE,1996 Summer,1996,Summer,Atlanta,Shooting,"Shooting Women's Sporting Pistol, 25 metres",
6186,Arif Axundov,M,23.0,187.0,70.0,Azerbaijan,AZE,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,
17143,Elvira Cabbarova,F,19.0,168.0,59.0,Azerbaijan,AZE,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's 100 metres,
19206,Emin Hafis Cbrayilov,M,18.0,173.0,58.0,Azerbaijan,AZE,1996 Summer,1996,Summer,Atlanta,Diving,Diving Men's Platform,
34239,Aleksey Fatyanov,M,27.0,180.0,73.0,Azerbaijan,AZE,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Triple Jump,
44558,Mmmdsalam Haciyev,M,24.0,178.0,77.0,Azerbaijan,AZE,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Welterweight, Freestyle",
48362,Tofiq Heydrov,M,24.0,,83.0,Azerbaijan,AZE,1996 Summer,1996,Summer,Atlanta,Weightlifting,Weightlifting Men's Light-Heavyweight,
51197,Nazim Galib-ogly Hseynov,M,26.0,,,Azerbaijan,AZE,1996 Summer,1996,Summer,Atlanta,Judo,Judo Men's Extra-Lightweight,
51202,Zlfiyy Yusif Hseynova,F,25.0,164.0,55.0,Azerbaijan,AZE,1996 Summer,1996,Summer,Atlanta,Judo,Judo Women's Lightweight,
51537,Mogamed Ibragimov,M,21.0,180.0,85.0,Azerbaijan,AZE,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Middleweight, Freestyle",
64476,lham Krimov,M,20.0,180.0,81.0,Azerbaijan,AZE,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Light-Heavyweight,
79297,Davud Abdulla Mhmmdov,M,25.0,182.0,97.0,Azerbaijan,AZE,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Heavyweight, Freestyle",
80695,Asif Mlikov,M,25.0,162.0,62.0,Azerbaijan,AZE,1996 Summer,1996,Summer,Atlanta,Weightlifting,Weightlifting Men's Bantamweight,
80703,Elxan Mmmdov,M,26.0,,,Azerbaijan,AZE,1996 Summer,1996,Summer,Atlanta,Fencing,"Fencing Men's Sabre, Individual",
80706,dalt Mmmdov,M,21.0,181.0,125.0,Azerbaijan,AZE,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Super-Heavyweight,
98005,Emin Aleksandr Quliyev,M,20.0,,,Azerbaijan,AZE,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 50 metres Freestyle,
106418,Vasif sadov,M,30.0,180.0,69.0,Azerbaijan,AZE,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Triple Jump,
120417,Valeri Timoxin,M,37.0,182.0,87.0,Azerbaijan,AZE,1996 Summer,1996,Summer,Atlanta,Shooting,Shooting Men's Skeet,
133696,Tahir Zahidov,M,17.0,154.0,53.0,Azerbaijan,AZE,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",
