ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
28384,Lyudmila Dideleva,F,17.0,,,Belarus,BLR,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Women's 5 kilometres,
28384,Lyudmila Dideleva,F,17.0,,,Belarus,BLR,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Women's 5/10 kilometres Pursuit,
28384,Lyudmila Dideleva,F,17.0,,,Belarus,BLR,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,
29183,Sergey Nikolayevich Dolidovich,M,20.0,175.0,68.0,Belarus,BLR,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 10 kilometres,
29183,Sergey Nikolayevich Dolidovich,M,20.0,175.0,68.0,Belarus,BLR,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,
29183,Sergey Nikolayevich Dolidovich,M,20.0,175.0,68.0,Belarus,BLR,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 10/15 kilometres Pursuit,
29183,Sergey Nikolayevich Dolidovich,M,20.0,175.0,68.0,Belarus,BLR,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,
41769,Vasily Fyodorovich Gorbachov,M,29.0,182.0,75.0,Belarus,BLR,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,
41769,Vasily Fyodorovich Gorbachov,M,29.0,182.0,75.0,Belarus,BLR,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,
42935,Yelena Anatolyevna Grigoryeva,F,19.0,159.0,48.0,Belarus,BLR,1994 Winter,1994,Winter,Lillehammer,Figure Skating,Figure Skating Mixed Pairs,
44383,Samvel Gyozalyan,M,23.0,186.0,84.0,Belarus,BLR,1994 Winter,1994,Winter,Lillehammer,Figure Skating,Figure Skating Mixed Ice Dancing,
57106,Svetlana Vladimirovna Kamotskaya,F,30.0,170.0,60.0,Belarus,BLR,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Women's 5 kilometres,
57106,Svetlana Vladimirovna Kamotskaya,F,30.0,170.0,60.0,Belarus,BLR,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Women's 15 kilometres,
57106,Svetlana Vladimirovna Kamotskaya,F,30.0,170.0,60.0,Belarus,BLR,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,
57107,Viktor Borisovich Kamotsky,M,30.0,182.0,74.0,Belarus,BLR,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 10 kilometres,
57107,Viktor Borisovich Kamotsky,M,30.0,182.0,74.0,Belarus,BLR,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,
