ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
3126,Ilmar Aluvee,M,24.0,178.0,65.0,Estonia,EST,1994 Winter,1994,Winter,Lillehammer,Nordic Combined,Nordic Combined Men's Individual,
37035,Magnar Freimuth,M,20.0,182.0,78.0,Estonia,EST,1994 Winter,1994,Winter,Lillehammer,Nordic Combined,Nordic Combined Men's Team,
37035,Magnar Freimuth,M,20.0,182.0,78.0,Estonia,EST,1994 Winter,1994,Winter,Lillehammer,Nordic Combined,Nordic Combined Men's Individual,
48114,Margus Hernits,M,17.0,174.0,62.0,Estonia,EST,1994 Winter,1994,Winter,Lillehammer,Figure Skating,Figure Skating Men's Singles,
56818,Urmas Kaldvee,M,32.0,179.0,70.0,Estonia,EST,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Men's 20 kilometres,
56818,Urmas Kaldvee,M,32.0,179.0,70.0,Estonia,EST,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,
57914,Elmo Kassin,M,24.0,170.0,68.0,Estonia,EST,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 10 kilometres,
57914,Elmo Kassin,M,24.0,170.0,68.0,Estonia,EST,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,
57914,Elmo Kassin,M,24.0,170.0,68.0,Estonia,EST,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 10/15 kilometres Pursuit,
57914,Elmo Kassin,M,24.0,170.0,68.0,Estonia,EST,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,
65314,Taivo Kuus,M,24.0,174.0,65.0,Estonia,EST,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,
65314,Taivo Kuus,M,24.0,174.0,65.0,Estonia,EST,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,
68851,Krista Lepik,F,29.0,166.0,60.0,Estonia,EST,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Women's 7.5 kilometres Sprint,
68851,Krista Lepik,F,29.0,166.0,60.0,Estonia,EST,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Women's 15 kilometres,
68851,Krista Lepik,F,29.0,166.0,60.0,Estonia,EST,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Women's 4 x 7.5 kilometres Relay,
69109,Allar Levandi,M,28.0,180.0,74.0,Estonia,EST,1994 Winter,1994,Winter,Lillehammer,Nordic Combined,Nordic Combined Men's Individual,
73295,Jaak Mae,M,21.0,182.0,77.0,Estonia,EST,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 10 kilometres,
73295,Jaak Mae,M,21.0,182.0,77.0,Estonia,EST,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,
73295,Jaak Mae,M,21.0,182.0,77.0,Estonia,EST,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 10/15 kilometres Pursuit,
75234,Ago Markvardt,M,24.0,182.0,73.0,Estonia,EST,1994 Winter,1994,Winter,Lillehammer,Nordic Combined,Nordic Combined Men's Individual,
79579,Olaf Mihelson,M,25.0,187.0,69.0,Estonia,EST,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Men's 10 kilometres Sprint,
86155,Piret Niglas,F,25.0,168.0,59.0,Estonia,EST,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Women's 5 kilometres,
86155,Piret Niglas,F,25.0,168.0,59.0,Estonia,EST,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Women's 15 kilometres,
86155,Piret Niglas,F,25.0,168.0,59.0,Estonia,EST,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,
86155,Piret Niglas,F,25.0,168.0,59.0,Estonia,EST,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Women's 5/10 kilometres Pursuit,
86155,Piret Niglas,F,25.0,168.0,59.0,Estonia,EST,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,
87144,Helen Novikov,F,17.0,165.0,61.0,Estonia,EST,1994 Winter,1994,Winter,Lillehammer,Luge,Luge Women's Singles,
87649,Connor Olev Martin O'Brien,M,33.0,180.0,75.0,Estonia,EST,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Downhill,
88355,Kalju Ojaste,M,32.0,182.0,76.0,Estonia,EST,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Men's 20 kilometres,
93918,Eveli Peterson,F,26.0,170.0,56.0,Estonia,EST,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Women's 7.5 kilometres Sprint,
93918,Eveli Peterson,F,26.0,170.0,56.0,Estonia,EST,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Women's 15 kilometres,
95859,Jelena Poljakova-Vivtseva,F,21.0,166.0,52.0,Estonia,EST,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Women's 7.5 kilometres Sprint,
95859,Jelena Poljakova-Vivtseva,F,21.0,166.0,52.0,Estonia,EST,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Women's 15 kilometres,
112131,Kristina migun-Vhi,F,16.0,168.0,59.0,Estonia,EST,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Women's 5 kilometres,
112131,Kristina migun-Vhi,F,16.0,168.0,59.0,Estonia,EST,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Women's 15 kilometres,
112131,Kristina migun-Vhi,F,16.0,168.0,59.0,Estonia,EST,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Women's 5/10 kilometres Pursuit,
116268,Silja Suija,F,19.0,181.0,70.0,Estonia,EST,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Women's 5 kilometres,
116268,Silja Suija,F,19.0,181.0,70.0,Estonia,EST,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Women's 15 kilometres,
116268,Silja Suija,F,19.0,181.0,70.0,Estonia,EST,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Women's 5/10 kilometres Pursuit,
119214,Jaanus Teppan,M,31.0,180.0,71.0,Estonia,EST,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,
123099,Aivo Udras,M,23.0,186.0,78.0,Estonia,EST,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Men's 10 kilometres Sprint,
123099,Aivo Udras,M,23.0,186.0,78.0,Estonia,EST,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Men's 20 kilometres,
123779,Cristel Vahtra,F,21.0,169.0,55.0,Estonia,EST,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Women's 5 kilometres,
123779,Cristel Vahtra,F,21.0,169.0,55.0,Estonia,EST,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Women's 15 kilometres,
123779,Cristel Vahtra,F,21.0,169.0,55.0,Estonia,EST,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,
123779,Cristel Vahtra,F,21.0,169.0,55.0,Estonia,EST,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Women's 5/10 kilometres Pursuit,
123856,Urmas Vlbe,M,27.0,178.0,73.0,Estonia,EST,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 10 kilometres,
123856,Urmas Vlbe,M,27.0,178.0,73.0,Estonia,EST,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,
123856,Urmas Vlbe,M,27.0,178.0,73.0,Estonia,EST,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 10/15 kilometres Pursuit,
125641,Andrus Veerpalu,M,23.0,182.0,73.0,Estonia,EST,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 10 kilometres,
125641,Andrus Veerpalu,M,23.0,182.0,73.0,Estonia,EST,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,
125641,Andrus Veerpalu,M,23.0,182.0,73.0,Estonia,EST,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 10/15 kilometres Pursuit,
133699,Hillar Zahkna,M,26.0,173.0,70.0,Estonia,EST,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Men's 10 kilometres Sprint,
50,Arvi Aavik,M,26.0,185.0,106.0,Estonia,EST,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Heavyweight, Freestyle",
6005,Lauri Aus,M,25.0,179.0,75.0,Estonia,EST,1996 Summer,1996,Summer,Atlanta,Cycling,"Cycling Men's Road Race, Individual",
16312,Valeri Bukrejev,M,32.0,186.0,86.0,Estonia,EST,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Pole Vault,
45092,Helger Hallik,M,23.0,187.0,124.0,Estonia,EST,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",
47385,Hain Helde,M,24.0,189.0,83.0,Estonia,EST,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",
47385,Hain Helde,M,24.0,189.0,83.0,Estonia,EST,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",
52104,Andrei Inein,M,29.0,178.0,93.0,Estonia,EST,1996 Summer,1996,Summer,Atlanta,Shooting,Shooting Men's Skeet,
53030,Heikki Jaansalu,M,37.0,187.0,110.0,Estonia,EST,1996 Summer,1996,Summer,Atlanta,Shooting,Shooting Men's Trap,
53031,Jri Jaanson,M,30.0,192.0,96.0,Estonia,EST,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Single Sculls,
56472,Kaido Kaaberma,M,27.0,194.0,84.0,Estonia,EST,1996 Summer,1996,Summer,Atlanta,Fencing,"Fencing Men's epee, Individual",
56472,Kaido Kaaberma,M,27.0,194.0,84.0,Estonia,EST,1996 Summer,1996,Summer,Atlanta,Fencing,"Fencing Men's epee, Team",
56731,Andrus Kajak,M,30.0,189.0,90.0,Estonia,EST,1996 Summer,1996,Summer,Atlanta,Fencing,"Fencing Men's epee, Individual",
57829,Indrek Kaseorg,M,28.0,194.0,86.0,Estonia,EST,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Decathlon,
58377,Avo Keel,M,33.0,192.0,89.0,Estonia,EST,1996 Summer,1996,Summer,Atlanta,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,
60772,Jaan Kirsipuu,M,27.0,179.0,76.0,Estonia,EST,1996 Summer,1996,Summer,Atlanta,Cycling,"Cycling Men's Road Race, Individual",
60956,Raul Kivilo,M,22.0,182.0,85.0,Estonia,EST,1996 Summer,1996,Summer,Atlanta,Archery,Archery Men's Individual,
61855,Raido Kodanipork,M,27.0,183.0,69.0,Estonia,EST,1996 Summer,1996,Summer,Atlanta,Cycling,"Cycling Men's Road Race, Individual",
62029,Kllo Kiv,M,24.0,175.0,72.0,Estonia,EST,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Lightweight, Freestyle",
64413,Krista Kruuv,F,25.0,164.0,64.0,Estonia,EST,1996 Summer,1996,Summer,Atlanta,Sailing,Sailing Women's One Person Dinghy,
67090,Andres Lauk,M,31.0,178.0,77.0,Estonia,EST,1996 Summer,1996,Summer,Atlanta,Cycling,"Cycling Men's Road Race, Individual",
71099,Meelis Loit,M,25.0,195.0,100.0,Estonia,EST,1996 Summer,1996,Summer,Atlanta,Fencing,"Fencing Men's epee, Individual",
71609,Pavel Loskutov,M,26.0,178.0,62.0,Estonia,EST,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Marathon,
72791,Alges Maasikmets,M,27.0,176.0,67.0,Estonia,EST,1996 Summer,1996,Summer,Atlanta,Cycling,"Cycling Men's Mountainbike, Cross-Country",
84048,Virge Naeris,F,26.0,178.0,64.0,Estonia,EST,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's Long Jump,
84048,Virge Naeris,F,26.0,178.0,64.0,Estonia,EST,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's Triple Jump,
84849,Andrei Nazarov,M,31.0,190.0,80.0,Estonia,EST,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Decathlon,
86215,Valeri Nikitin,M,26.0,167.0,69.0,Estonia,EST,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",
86823,Erki Nool,M,26.0,184.0,84.0,Estonia,EST,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Decathlon,
