ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
539,Levan Abramishvili,M,23.0,181.0,84.0,Georgia,GEO,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Slalom,
31116,Zurab Dzhidzhishvili,M,20.0,180.0,75.0,Georgia,GEO,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Downhill,
31116,Zurab Dzhidzhishvili,M,20.0,180.0,75.0,Georgia,GEO,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Combined,
120235,Levan Tibilov,M,23.0,180.0,80.0,Georgia,GEO,1994 Winter,1994,Winter,Lillehammer,Luge,Luge Mixed (Men)'s Doubles,
122191,"Kakhabar ""Kakha"" Tsakadze",M,25.0,173.0,70.0,Georgia,GEO,1994 Winter,1994,Winter,Lillehammer,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",
122191,"Kakhabar ""Kakha"" Tsakadze",M,25.0,173.0,70.0,Georgia,GEO,1994 Winter,1994,Winter,Lillehammer,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",
537,Ek'aterina Abramia,F,16.0,167.0,43.0,Georgia,GEO,1996 Summer,1996,Summer,Atlanta,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,
6294,Maia Azarashvili,F,32.0,169.0,57.0,Georgia,GEO,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's 200 metres,
11426,Guram Biganishvili,M,46.0,188.0,97.0,Georgia,GEO,1996 Summer,1996,Summer,Atlanta,Sailing,Sailing Mixed Two Person Keelboat,
28019,Vladimer Dgebuadze,M,23.0,177.0,71.0,Georgia,GEO,1996 Summer,1996,Summer,Atlanta,Judo,Judo Men's Lightweight,
37967,Gocha Gakharia,M,22.0,174.0,66.0,Georgia,GEO,1996 Summer,1996,Summer,Atlanta,Diving,Diving Men's Platform,
40477,Ilia Giorgadze,M,18.0,168.0,70.0,Georgia,GEO,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Men's Individual All-Around,
40477,Ilia Giorgadze,M,18.0,168.0,70.0,Georgia,GEO,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Men's Floor Exercise,
40477,Ilia Giorgadze,M,18.0,168.0,70.0,Georgia,GEO,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Men's Horse Vault,
40477,Ilia Giorgadze,M,18.0,168.0,70.0,Georgia,GEO,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Men's Parallel Bars,
40477,Ilia Giorgadze,M,18.0,168.0,70.0,Georgia,GEO,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Men's Horizontal Bar,
40477,Ilia Giorgadze,M,18.0,168.0,70.0,Georgia,GEO,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Men's Rings,
40477,Ilia Giorgadze,M,18.0,168.0,70.0,Georgia,GEO,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Men's Pommelled Horse,
