ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
102472,Yevgeniya Ivanovna Roppel,F,17.0,,,Kyrgyzstan,KGZ,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Women's 7.5 kilometres Sprint,
102472,Yevgeniya Ivanovna Roppel,F,17.0,,,Kyrgyzstan,KGZ,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Women's 15 kilometres,
2478,Konstantin Aleksandrov,M,26.0,172.0,100.0,Kyrgyzstan,KGZ,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Heavyweight, Freestyle",
2736,Nazirdin Alikbekov,M,30.0,168.0,62.0,Kyrgyzstan,KGZ,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Marathon,
4239,Konstantin Andryushin,M,21.0,179.0,72.0,Kyrgyzstan,KGZ,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 200 metres Butterfly,
4239,Konstantin Andryushin,M,21.0,179.0,72.0,Kyrgyzstan,KGZ,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 4 x 100 metres Medley Relay,
5549,Sergey Ashikhmin,M,19.0,197.0,87.0,Kyrgyzstan,KGZ,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 100 metres Freestyle,
5549,Sergey Ashikhmin,M,19.0,197.0,87.0,Kyrgyzstan,KGZ,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,
5549,Sergey Ashikhmin,M,19.0,197.0,87.0,Kyrgyzstan,KGZ,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
12706,Irina Bogacheva,F,35.0,168.0,54.0,Kyrgyzstan,KGZ,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's Marathon,
12721,Olga Bogatyreva,F,16.0,,,Kyrgyzstan,KGZ,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,
12721,Olga Bogatyreva,F,16.0,,,Kyrgyzstan,KGZ,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 200 metres Individual Medley,
20437,Oksana Cherevko,F,16.0,,,Kyrgyzstan,KGZ,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 200 metres Breaststroke,
20473,Vladislav Chernobay,M,20.0,192.0,90.0,Kyrgyzstan,KGZ,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,
34518,Igor Feldman,M,34.0,,,Kyrgyzstan,KGZ,1996 Summer,1996,Summer,Atlanta,Modern Pentathlon,Modern Pentathlon Men's Individual,
57828,Nurbek Kasenov,M,20.0,180.0,71.0,Kyrgyzstan,KGZ,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Welterweight,
58131,Boris Veniaminovich Kaveshnikov,M,21.0,182.0,68.0,Kyrgyzstan,KGZ,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 800 metres,
