ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
5364,Boriss Artemjevs,M,29.0,,,Latvia-1,LAT,1994 Winter,1994,Winter,Lillehammer,Bobsleigh,Bobsleigh Men's Four,
10361,Yelena Viktorovna Berezhnaya,F,16.0,154.0,42.0,Latvia,LAT,1994 Winter,1994,Winter,Lillehammer,Figure Skating,Figure Skating Mixed Pairs,
12744,Aivars Bogdanovs,M,28.0,173.0,66.0,Latvia,LAT,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Men's 10 kilometres Sprint,
12744,Aivars Bogdanovs,M,28.0,173.0,66.0,Latvia,LAT,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,
15047,Ilmrs Bricis,M,23.0,181.0,72.0,Latvia,LAT,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Men's 10 kilometres Sprint,
19269,Ieva Cedertrma-Volfa,F,24.0,170.0,57.0,Latvia,LAT,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Women's 7.5 kilometres Sprint,
19269,Ieva Cedertrma-Volfa,F,24.0,170.0,57.0,Latvia,LAT,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Women's 15 kilometres,
31864,Zintis Ekmanis,M,35.0,184.0,90.0,Latvia-1,LAT,1994 Winter,1994,Winter,Lillehammer,Bobsleigh,Bobsleigh Men's Two,
32241,Agris Elerts,M,26.0,182.0,85.0,Latvia,LAT,1994 Winter,1994,Winter,Lillehammer,Luge,Luge Men's Singles,
37918,Iluta Gaile,F,25.0,166.0,64.0,Latvia,LAT,1994 Winter,1994,Winter,Lillehammer,Luge,Luge Women's Singles,
47930,Jnis Hermanis,M,23.0,186.0,80.0,Latvia,LAT,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 10 kilometres,
47930,Jnis Hermanis,M,23.0,186.0,80.0,Latvia,LAT,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,
47930,Jnis Hermanis,M,23.0,186.0,80.0,Latvia,LAT,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,
47930,Jnis Hermanis,M,23.0,186.0,80.0,Latvia,LAT,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 10/15 kilometres Pursuit,
63870,Ineta Kravale (-Vtola),F,34.0,165.0,56.0,Latvia,LAT,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Women's 5 kilometres,
63870,Ineta Kravale (-Vtola),F,34.0,165.0,56.0,Latvia,LAT,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Women's 15 kilometres,
63870,Ineta Kravale (-Vtola),F,34.0,165.0,56.0,Latvia,LAT,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,
68582,Dairis Leksis,M,21.0,180.0,78.0,Latvia-2,LAT,1994 Winter,1994,Winter,Lillehammer,Luge,Luge Mixed (Men)'s Doubles,
72456,Ilonda Lse,F,21.0,181.0,72.0,Latvia,LAT,1994 Winter,1994,Winter,Lillehammer,Speed Skating,"Speed Skating Women's 3,000 metres",
74209,Oegs Mauhins,M,24.0,183.0,78.0,Latvia,LAT,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Men's 20 kilometres,
89468,Anna Orlova,F,21.0,175.0,84.0,Latvia,LAT,1994 Winter,1994,Winter,Lillehammer,Luge,Luge Women's Singles,
95516,Adris Plksna,M,27.0,187.0,83.0,Latvia-2,LAT,1994 Winter,1994,Winter,Lillehammer,Bobsleigh,Bobsleigh Men's Two,
95516,Adris Plksna,M,27.0,187.0,83.0,Latvia-2,LAT,1994 Winter,1994,Winter,Lillehammer,Bobsleigh,Bobsleigh Men's Four,
116249,Roberts Suharevs,M,24.0,184.0,100.0,Latvia-1,LAT,1994 Winter,1994,Winter,Lillehammer,Luge,Luge Mixed (Men)'s Doubles,
116327,Evija ulce (vne-),F,23.0,,,Latvia,LAT,1994 Winter,1994,Winter,Lillehammer,Luge,Luge Women's Singles,
123378,Gundars Upenieks,M,22.0,186.0,80.0,Latvia,LAT,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Men's 20 kilometres,
126972,Andrejs Vlaenko,M,19.0,,,Latvia,LAT,1994 Winter,1994,Winter,Lillehammer,Figure Skating,Figure Skating Men's Singles,
127577,Juris Vovoks,M,22.0,186.0,86.0,Latvia,LAT,1994 Winter,1994,Winter,Lillehammer,Luge,Luge Men's Singles,
10518,Raimonds Bergmanis,M,29.0,192.0,128.0,Latvia,LAT,1996 Summer,1996,Summer,Atlanta,Weightlifting,Weightlifting Men's Super-Heavyweight,
10950,Viesturs Brzi,M,22.0,177.0,85.0,Latvia,LAT,1996 Summer,1996,Summer,Atlanta,Cycling,Cycling Men's Sprint,
12224,Jeena Blaevia (-Jerova),F,26.0,170.0,55.0,Latvia,LAT,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's Triple Jump,
