ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
30054,Margarita Drobiazko,F,22.0,170.0,58.0,Lithuania,LTU,1994 Winter,1994,Winter,Lillehammer,Figure Skating,Figure Skating Mixed Ice Dancing,
54000,Gintaras Jasinskas,M,26.0,,,Lithuania,LTU,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Men's 10 kilometres Sprint,
54000,Gintaras Jasinskas,M,26.0,,,Lithuania,LTU,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Men's 20 kilometres,
90971,Riardas Panavas,M,21.0,176.0,74.0,Lithuania,LTU,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 10 kilometres,
90971,Riardas Panavas,M,21.0,176.0,74.0,Lithuania,LTU,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,
90971,Riardas Panavas,M,21.0,176.0,74.0,Lithuania,LTU,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,
90971,Riardas Panavas,M,21.0,176.0,74.0,Lithuania,LTU,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 10/15 kilometres Pursuit,
115822,Kazimiera Strolien,F,33.0,163.0,58.0,Lithuania,LTU,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Women's 7.5 kilometres Sprint,
115822,Kazimiera Strolien,F,33.0,163.0,58.0,Lithuania,LTU,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Women's 15 kilometres,
125835,Vida Vencien (Mogenyt-),F,32.0,169.0,63.0,Lithuania,LTU,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Women's 5 kilometres,
125835,Vida Vencien (Mogenyt-),F,32.0,169.0,63.0,Lithuania,LTU,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Women's 15 kilometres,
125835,Vida Vencien (Mogenyt-),F,32.0,169.0,63.0,Lithuania,LTU,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,
2469,Virgilijus Alekna,M,24.0,200.0,130.0,Lithuania,LTU,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Discus Throw,
6773,Juozas Bagdonas,M,28.0,,,Lithuania,LTU,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Coxless Pairs,
7190,Linas Balinas,M,18.0,197.0,95.0,Lithuania,LTU,1996 Summer,1996,Summer,Atlanta,Cycling,"Cycling Men's Road Race, Individual",
9443,Nerijus Beiga,M,24.0,189.0,80.0,Lithuania,LTU,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 100 metres Breaststroke,
9443,Nerijus Beiga,M,24.0,189.0,80.0,Lithuania,LTU,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 200 metres Breaststroke,
9443,Nerijus Beiga,M,24.0,189.0,80.0,Lithuania,LTU,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 4 x 100 metres Medley Relay,
15874,Mindaugas Bruas,M,20.0,,,Lithuania,LTU,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 100 metres Butterfly,
15874,Mindaugas Bruas,M,20.0,,,Lithuania,LTU,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 200 metres Butterfly,
31743,Gintaras Einikis,M,26.0,208.0,120.0,Lithuania,LTU,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Men's Basketball,Bronze
