ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
40000,Vasily Gherghy,M,20.0,182.0,72.0,Moldova,MDA,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Men's 10 kilometres Sprint,
40000,Vasily Gherghy,M,20.0,182.0,72.0,Moldova,MDA,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Men's 20 kilometres,
41895,Elena Gorohova,F,21.0,168.0,54.0,Moldova,MDA,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Women's 7.5 kilometres Sprint,
41895,Elena Gorohova,F,21.0,168.0,54.0,Moldova,MDA,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Women's 15 kilometres,
2731,Nazim Alidjanov,M,25.0,168.0,59.0,Moldova,MDA,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Bantamweight, Freestyle",
11729,Vladimir Birsa,M,24.0,,76.0,Moldova,MDA,1996 Summer,1996,Summer,Atlanta,Weightlifting,Weightlifting Men's Middleweight,
13025,Olga Bolova,F,28.0,174.0,56.0,Moldova,MDA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's High Jump,
13115,Igor Bonciucov,M,23.0,178.0,66.0,Moldova,MDA,1996 Summer,1996,Summer,Atlanta,Cycling,"Cycling Men's Road Race, Individual",
13115,Igor Bonciucov,M,23.0,178.0,66.0,Moldova,MDA,1996 Summer,1996,Summer,Atlanta,Cycling,Cycling Men's Individual Time Trial,
19200,Maxim Cazmirciuc,M,25.0,,,Moldova,MDA,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 50 metres Freestyle,
19200,Maxim Cazmirciuc,M,25.0,,,Moldova,MDA,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 100 metres Freestyle,
19200,Maxim Cazmirciuc,M,25.0,,,Moldova,MDA,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 100 metres Butterfly,
21714,Feodosiy Ciumacenco,M,23.0,172.0,68.0,Moldova,MDA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 20 kilometres Walk,
23786,Oleg Cretu,M,21.0,,,Moldova,MDA,1996 Summer,1996,Summer,Atlanta,Judo,Judo Men's Half-Middleweight,
23787,Serghei Cretu (Kretsov-),M,24.0,,70.0,Moldova,MDA,1996 Summer,1996,Summer,Atlanta,Weightlifting,Weightlifting Men's Lightweight,
32247,Artur Elezarov,M,22.0,,,Moldova,MDA,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 100 metres Backstroke,
32247,Artur Elezarov,M,22.0,,,Moldova,MDA,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 200 metres Backstroke,
32537,Valentina Enachi,F,30.0,162.0,51.0,Moldova,MDA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's Marathon,
40786,Ina Gliznua,F,23.0,186.0,70.0,Moldova,MDA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's High Jump,
41100,Andrei Golban,M,22.0,,,Moldova,MDA,1996 Summer,1996,Summer,Atlanta,Judo,Judo Men's Lightweight,
42171,Igor Grabovetchi,M,28.0,188.0,104.0,Moldova,MDA,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",
52833,Ruslan Ivanov,M,22.0,177.0,71.0,Moldova,MDA,1996 Summer,1996,Summer,Atlanta,Cycling,"Cycling Men's Road Race, Individual",
52833,Ruslan Ivanov,M,22.0,177.0,71.0,Moldova,MDA,1996 Summer,1996,Summer,Atlanta,Cycling,Cycling Men's Individual Time Trial,
53053,Gusman Jabrailov,M,34.0,177.0,82.0,Moldova,MDA,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Middleweight, Freestyle",
56189,Alexandru Jucov,M,31.0,185.0,67.0,Moldova,MDA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Pole Vault,
56356,Nicolae Juravschi,M,31.0,175.0,75.0,Moldova,MDA,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Silver
56356,Nicolae Juravschi,M,31.0,175.0,75.0,Moldova,MDA,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",
70478,Ghenadie Lisoconi,M,31.0,174.0,74.0,Moldova,MDA,1996 Summer,1996,Summer,Atlanta,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",
75086,Serghei Mariniuc,M,27.0,173.0,65.0,Moldova,MDA,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 200 metres Individual Medley,
75086,Serghei Mariniuc,M,27.0,173.0,65.0,Moldova,MDA,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 400 metres Individual Medley,
81093,Oleg Moldovan,M,29.0,178.0,70.0,Moldova,MDA,1996 Summer,1996,Summer,Atlanta,Shooting,"Shooting Men's Running Target, 10 metres",
83476,Sergei Jurevich Mureico,M,26.0,195.0,120.0,Moldova,MDA,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Bronze
89434,Veaceslav Oriol,M,27.0,178.0,71.0,Moldova,MDA,1996 Summer,1996,Summer,Atlanta,Cycling,"Cycling Men's Road Race, Individual",
90901,Nadejda Palovandova (-Toma),F,20.0,,,Moldova,MDA,1996 Summer,1996,Summer,Atlanta,Archery,Archery Women's Individual,
92759,Victor Peicov,M,30.0,173.0,76.0,Moldova,MDA,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Welterweight, Freestyle",
95326,Andrei Placinta,M,21.0,179.0,76.0,Moldova,MDA,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",
96188,Vladimir Popov,M,19.0,160.0,63.0,Moldova,MDA,1996 Summer,1996,Summer,Atlanta,Weightlifting,Weightlifting Men's Featherweight,
97421,Igor Pugaci,M,21.0,178.0,67.0,Moldova,MDA,1996 Summer,1996,Summer,Atlanta,Cycling,"Cycling Men's Road Race, Individual",
98409,Vitalie Railean,M,20.0,162.0,54.0,Moldova,MDA,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",
104678,Vadim Salcutan,M,22.0,181.0,83.0,Moldova,MDA,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",
105003,Igor Samoilenco,M,19.0,163.0,51.0,Moldova,MDA,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Flyweight,
