ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
544,Sergey Mikhaylovich Abramov,M,34.0,180.0,94.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Ice Hockey,Ice Hockey Men's Ice Hockey,
4615,Andrey Anufriyenko,M,23.0,178.0,80.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Speed Skating,"Speed Skating Men's 1,500 metres",
4615,Andrey Anufriyenko,M,23.0,178.0,80.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Speed Skating,"Speed Skating Men's 5,000 metres",
4615,Andrey Anufriyenko,M,23.0,178.0,80.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Speed Skating,"Speed Skating Men's 10,000 metres",
6644,Igor Gayniakhmetovich Badamshin,M,27.0,175.0,70.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,
6644,Igor Gayniakhmetovich Badamshin,M,27.0,175.0,70.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,
7054,Andrey Pavlovich Bakhvalov,M,30.0,188.0,92.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Speed Skating,Speed Skating Men's 500 metres,
7054,Andrey Pavlovich Bakhvalov,M,30.0,188.0,92.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Speed Skating,"Speed Skating Men's 1,000 metres",
8967,Svetlana Valeryevna Bazhanova,F,21.0,175.0,70.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Speed Skating,"Speed Skating Women's 1,500 metres",
8967,Svetlana Valeryevna Bazhanova,F,21.0,175.0,70.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Speed Skating,"Speed Skating Women's 3,000 metres",Gold
8967,Svetlana Valeryevna Bazhanova,F,21.0,175.0,70.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Speed Skating,"Speed Skating Women's 5,000 metres",
9819,Gennady Vladimirovich Belyakov,M,25.0,171.0,84.0,Russia-2,RUS,1994 Winter,1994,Winter,Lillehammer,Luge,Luge Mixed (Men)'s Doubles,
9824,Lyubov Borisovna Belyakova,F,26.0,160.0,57.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Women's 7.5 kilometres Sprint,
11171,Vasily Viktorovich Bezsmelnitsyn,M,19.0,176.0,76.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Downhill,
11171,Vasily Viktorovich Bezsmelnitsyn,M,19.0,176.0,76.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Super G,
11171,Vasily Viktorovich Bezsmelnitsyn,M,19.0,176.0,76.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Giant Slalom,
11171,Vasily Viktorovich Bezsmelnitsyn,M,19.0,176.0,76.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Combined,
13890,Mikhail Botvinov,M,26.0,185.0,80.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 10 kilometres,
13890,Mikhail Botvinov,M,26.0,185.0,80.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,
13890,Mikhail Botvinov,M,26.0,185.0,80.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,
13890,Mikhail Botvinov,M,26.0,185.0,80.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 10/15 kilometres Pursuit,
13890,Mikhail Botvinov,M,26.0,185.0,80.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,
14312,Svetlana Sergeyevna Boyarkina-Zhurova,F,22.0,176.0,64.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Speed Skating,Speed Skating Women's 500 metres,
14312,Svetlana Sergeyevna Boyarkina-Zhurova,F,22.0,176.0,64.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Speed Skating,"Speed Skating Women's 1,000 metres",
16202,Nataliya Nikolayevna Buga,F,22.0,160.0,56.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Women's Downhill,
16202,Nataliya Nikolayevna Buga,F,22.0,160.0,56.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Women's Super G,
16202,Nataliya Nikolayevna Buga,F,22.0,160.0,56.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Women's Giant Slalom,
16202,Nataliya Nikolayevna Buga,F,22.0,160.0,56.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Women's Combined,
16655,Eduard Vyacheslavovich Burmistrov,M,25.0,182.0,85.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Luge,Luge Men's Singles,
20140,Dmitry Chelovenko,M,19.0,183.0,65.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",
20140,Dmitry Chelovenko,M,19.0,183.0,65.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",
20140,Dmitry Chelovenko,M,19.0,183.0,65.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Ski Jumping,"Ski Jumping Men's Large Hill, Team",
20410,Sergey Vladimirovich Chepikov,M,27.0,182.0,75.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Men's 10 kilometres Sprint,Gold
20410,Sergey Vladimirovich Chepikov,M,27.0,182.0,75.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Men's 20 kilometres,
20410,Sergey Vladimirovich Chepikov,M,27.0,182.0,75.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Silver
20453,Marina Yevgenyevna Cherkasova,F,21.0,164.0,62.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Freestyle Skiing,Freestyle Skiing Women's Moguls,
25253,Sergey Vladimirovich Danilin,M,34.0,179.0,84.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Luge,Luge Men's Singles,
27442,Albert Mikhaylovich Demchenko,M,22.0,185.0,95.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Luge,Luge Men's Singles,
27442,Albert Mikhaylovich Demchenko,M,22.0,185.0,95.0,Russia-1,RUS,1994 Winter,1994,Winter,Lillehammer,Luge,Luge Mixed (Men)'s Doubles,
28902,Artur Valeryevich Dmitriyev,M,26.0,183.0,82.0,Russia-2,RUS,1994 Winter,1994,Winter,Lillehammer,Figure Skating,Figure Skating Mixed Pairs,Silver
29857,Vladimir Petrovich Drachov,M,27.0,170.0,61.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Men's 10 kilometres Sprint,
30315,Dmitry Eduardovich Dubrovsky,M,19.0,174.0,70.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Nordic Combined,Nordic Combined Men's Individual,
30316,Stanislav Eduardovich Dubrovsky,M,19.0,174.0,67.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Nordic Combined,Nordic Combined Men's Team,
30316,Stanislav Eduardovich Dubrovsky,M,19.0,174.0,67.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Nordic Combined,Nordic Combined Men's Individual,
31067,Lyudmila Vyacheslavovna Dymchenko,F,16.0,158.0,43.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Freestyle Skiing,Freestyle Skiing Women's Moguls,
34422,Svetlana Aleksandrovna Fedotkina,F,26.0,180.0,75.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Speed Skating,Speed Skating Women's 500 metres,
34422,Svetlana Aleksandrovna Fedotkina,F,26.0,180.0,75.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Speed Skating,"Speed Skating Women's 1,000 metres",
34422,Svetlana Aleksandrovna Fedotkina,F,26.0,180.0,75.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Speed Skating,"Speed Skating Women's 1,500 metres",Silver
35301,Andrey Vladimirovich Filichkin,M,19.0,182.0,91.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Downhill,
35301,Andrey Vladimirovich Filichkin,M,19.0,182.0,91.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Super G,
35301,Andrey Vladimirovich Filichkin,M,19.0,182.0,91.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Giant Slalom,
35301,Andrey Vladimirovich Filichkin,M,19.0,182.0,91.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Combined,
37752,Vladimir Anatolyevich Fyodorov,M,22.0,185.0,80.0,Russia-3,RUS,1994 Winter,1994,Winter,Lillehammer,Figure Skating,Figure Skating Mixed Ice Dancing,
39171,Nina Vasilyevna Gavrylyuk,F,28.0,167.0,55.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Women's 5 kilometres,
39171,Nina Vasilyevna Gavrylyuk,F,28.0,167.0,55.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Women's 15 kilometres,Bronze
39171,Nina Vasilyevna Gavrylyuk,F,28.0,167.0,55.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Women's 5/10 kilometres Pursuit,
39171,Nina Vasilyevna Gavrylyuk,F,28.0,167.0,55.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Gold
40669,Svetlana Alekseyevna Gladysheva,F,22.0,170.0,73.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Women's Downhill,
40669,Svetlana Alekseyevna Gladysheva,F,22.0,170.0,73.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Women's Super G,Silver
