ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
6956,Oksana Serhivna Baiul,F,16.0,159.0,43.0,Ukraine,UKR,1994 Winter,1994,Winter,Lillehammer,Figure Skating,Figure Skating Women's Singles,Gold
9813,Olena Belusovska,F,13.0,,,Ukraine,UKR,1994 Winter,1994,Winter,Lillehammer,Figure Skating,Figure Skating Mixed Pairs,
11531,Nadiya Oleksandriwna Billova,F,32.0,162.0,55.0,Ukraine,UKR,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Women's 15 kilometres,
13660,Oleksandr Stepanovych Bortiuk,M,28.0,179.0,88.0,Ukraine,UKR,1994 Winter,1994,Winter,Lillehammer,Bobsleigh,Bobsleigh Men's Two,
13660,Oleksandr Stepanovych Bortiuk,M,28.0,179.0,88.0,Ukraine,UKR,1994 Winter,1994,Winter,Lillehammer,Bobsleigh,Bobsleigh Men's Four,
16882,Serhiy But,M,24.0,178.0,69.0,Ukraine,UKR,1994 Winter,1994,Winter,Lillehammer,Freestyle Skiing,Freestyle Skiing Men's Aerials,
20471,Svitlana Ivanivna Chernikova,F,16.0,167.0,50.0,Ukraine-2,UKR,1994 Winter,1994,Winter,Lillehammer,Figure Skating,Figure Skating Mixed Ice Dancing,
29205,Toras Dolniy,M,34.0,174.0,71.0,Ukraine,UKR,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Men's 10 kilometres Sprint,
29205,Toras Dolniy,M,34.0,174.0,71.0,Ukraine,UKR,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Men's 20 kilometres,
29205,Toras Dolniy,M,34.0,174.0,71.0,Ukraine,UKR,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,
31117,Valentyn Dzhima,M,28.0,181.0,82.0,Ukraine,UKR,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Men's 10 kilometres Sprint,
50506,Vasyl Vasylovych Hrybovych,M,24.0,,,Ukraine,UKR,1994 Winter,1994,Winter,Lillehammer,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",
50506,Vasyl Vasylovych Hrybovych,M,24.0,,,Ukraine,UKR,1994 Winter,1994,Winter,Lillehammer,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",
52862,Liudmyla Heorhiyivna Ivanova (-Tkachenko),F,15.0,,,Ukraine,UKR,1994 Winter,1994,Winter,Lillehammer,Figure Skating,Figure Skating Women's Singles,
63145,Oleh Kostromitin,M,21.0,176.0,75.0,Ukraine,UKR,1994 Winter,1994,Winter,Lillehammer,Speed Skating,Speed Skating Men's 500 metres,
63145,Oleh Kostromitin,M,21.0,176.0,75.0,Ukraine,UKR,1994 Winter,1994,Winter,Lillehammer,Speed Skating,"Speed Skating Men's 1,000 metres",
69641,Olena Anatolivna Liashenko,F,17.0,160.0,48.0,Ukraine,UKR,1994 Winter,1994,Winter,Lillehammer,Figure Skating,Figure Skating Women's Singles,
71071,Olha Lohinova,F,28.0,162.0,54.0,Ukraine,UKR,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Women's Downhill,
71071,Olha Lohinova,F,28.0,162.0,54.0,Ukraine,UKR,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Women's Super G,
71071,Olha Lohinova,F,28.0,162.0,54.0,Ukraine,UKR,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Women's Giant Slalom,
