ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
360,Dzhamolidin Mirgarifanovich Abduzhaparov,M,24.0,174.0,72.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Cycling,"Cycling Men's Road Race, Individual",
546,Inna Vladimirovna Abramova,F,21.0,172.0,63.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 50 metres Freestyle,
546,Inna Vladimirovna Abramova,F,21.0,172.0,63.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,
1660,Nataliya Akhrimenko (-Petrova),F,33.0,184.0,90.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's Shot Put,
2510,Vadim Alekseyev,M,18.0,183.0,80.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 200 metres Breaststroke,
2791,Mhyddin Allahverdiyev,M,26.0,162.0,48.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",
3071,Andrey Igorevich Alshan,M,28.0,181.0,78.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Fencing,"Fencing Men's Sabre, Individual",
3071,Andrey Igorevich Alshan,M,28.0,181.0,78.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Fencing,"Fencing Men's Sabre, Team",Silver
4388,Nataliya Yuryevna Anisimova (Guskova-),F,27.0,174.0,70.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Handball,Handball Women's Handball,Bronze
4477,Vladimir Ilyich Antakov,M,31.0,180.0,80.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Hockey,Hockey Men's Hockey,
4581,Yaroslav Viktorovich Antonov,M,25.0,198.0,95.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Volleyball,Volleyball Men's Volleyball,Silver
4673,Oleksandr Valentynovych Apaichev,M,26.0,187.0,90.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Decathlon,
4677,Dmitry Borisovich Apanasenko,M,21.0,192.0,86.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Water Polo,Water Polo Men's Water Polo,Bronze
4679,Aleksandra Apanovich (-Klementyeva),F,18.0,170.0,65.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",
4750,Vladimer Aptsiauri,M,26.0,170.0,72.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Fencing,"Fencing Men's Foil, Team",Gold
5327,Israil Magomedgireyevich Arsamakov,M,26.0,169.0,85.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Weightlifting,Weightlifting Men's Light-Heavyweight,Gold
5365,Aleksandr Viktorovich Artemyev,M,22.0,172.0,54.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Bantamweight,
5396,Vladimir Nikolayevich Artyomov,M,23.0,167.0,63.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Men's Individual All-Around,Gold
5396,Vladimir Nikolayevich Artyomov,M,23.0,167.0,63.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Men's Team All-Around,Gold
5396,Vladimir Nikolayevich Artyomov,M,23.0,167.0,63.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Men's Floor Exercise,Silver
5396,Vladimir Nikolayevich Artyomov,M,23.0,167.0,63.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Men's Horse Vault,
5396,Vladimir Nikolayevich Artyomov,M,23.0,167.0,63.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Men's Parallel Bars,Gold
5396,Vladimir Nikolayevich Artyomov,M,23.0,167.0,63.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Men's Horizontal Bar,Gold
5396,Vladimir Nikolayevich Artyomov,M,23.0,167.0,63.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Men's Rings,
5396,Vladimir Nikolayevich Artyomov,M,23.0,167.0,63.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Men's Pommelled Horse,
5397,Nataliya Petrovna Artyomova,F,25.0,167.0,49.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Athletics,"Athletics Women's 3,000 metres",
5447,Loedmila Arzjannikova,F,30.0,168.0,62.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Archery,Archery Women's Individual,
5447,Loedmila Arzjannikova,F,30.0,168.0,62.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Archery,Archery Women's Team,
5777,Vyacheslav Vladimirovich Atavin,M,21.0,199.0,93.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Handball,Handball Men's Handball,Gold
6072,Anatoly Avdeyev,M,27.0,170.0,76.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Modern Pentathlon,Modern Pentathlon Men's Individual,
6072,Anatoly Avdeyev,M,27.0,170.0,76.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Modern Pentathlon,Modern Pentathlon Men's Team,
6076,Hennadiy Valentynovych Avdieienko,M,24.0,202.0,82.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's High Jump,Gold
6077,Liudmyla Stepanivna Avdieienko (Petrus-),F,24.0,180.0,62.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's High Jump,
6102,Lidiya Arsentyevna Averyanova,F,28.0,180.0,74.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Women's Coxed Eights,
6136,Hennadiy Viktorovych Avramenko,M,23.0,178.0,72.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Shooting,"Shooting Men's Running Target, 50 metres",Bronze
6294,Maia Azarashvili,F,24.0,169.0,57.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 200 metres,
6473,Marina Babkova,F,18.0,158.0,49.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Diving,Diving Women's Springboard,
6876,Laimut Baikauskait,F,32.0,162.0,58.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Athletics,"Athletics Women's 1,500 metres",Silver
6955,Svetlana Nikolayevna Baitova,F,16.0,152.0,39.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Women's Individual All-Around,
6955,Svetlana Nikolayevna Baitova,F,16.0,152.0,39.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Women's Team All-Around,Gold
6955,Svetlana Nikolayevna Baitova,F,16.0,152.0,39.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Women's Floor Exercise,
6955,Svetlana Nikolayevna Baitova,F,16.0,152.0,39.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Women's Horse Vault,
