ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
2961,"Joseph Michael ""Joe"" Almasian",M,26.0,183.0,85.0,Armenia,ARM,1994 Winter,1994,Winter,Lillehammer,Bobsleigh,Bobsleigh Men's Two,
6146,Hovhannes Avtandilyan,M,18.0,170.0,55.0,Armenia,ARM,1996 Summer,1996,Summer,Atlanta,Diving,Diving Men's Platform,
8203,Hovhannes Barseghyan,M,26.0,,76.0,Armenia,ARM,1996 Summer,1996,Summer,Atlanta,Weightlifting,Weightlifting Men's Middleweight,
19582,Sergo Chakhoyan,M,26.0,170.0,81.5,Armenia,ARM,1996 Summer,1996,Summer,Atlanta,Weightlifting,Weightlifting Men's Light-Heavyweight,
25242,Ashot Danielyan,M,22.0,187.0,156.0,Armenia,ARM,1996 Summer,1996,Summer,Atlanta,Weightlifting,Weightlifting Men's Super-Heavyweight,
25352,Eduard Darbinyan,M,25.0,,64.0,Armenia,ARM,1996 Summer,1996,Summer,Atlanta,Weightlifting,Weightlifting Men's Featherweight,
32515,Robert Emmiyan,M,31.0,178.0,69.0,Armenia,ARM,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Long Jump,
39339,Levon Geghamyan,M,18.0,178.0,84.0,Armenia,ARM,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",
39894,Arayik Gevorgyan,M,23.0,165.0,74.0,Armenia,ARM,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Lightweight, Freestyle",
39895,Arsen Gevorgyan,M,21.0,,,Armenia,ARM,1996 Summer,1996,Summer,Atlanta,Judo,Judo Men's Half-Middleweight,
39896,Artur Gevorgyan,M,21.0,176.0,60.0,Armenia,ARM,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Featherweight,
39961,Arsen Ghazaryan,M,21.0,177.0,72.0,Armenia,ARM,1996 Summer,1996,Summer,Atlanta,Cycling,"Cycling Men's Road Race, Individual",
39963,Mekhak Ghazaryan,M,29.0,165.0,57.0,Armenia,ARM,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Lightweight,
42922,Aghvan Grigoryan,M,27.0,,98.0,Armenia,ARM,1996 Summer,1996,Summer,Atlanta,Weightlifting,Weightlifting Men's Heavyweight I,
44401,Arusyak Gyulbudaghyan,F,17.0,,,Armenia,ARM,1996 Summer,1996,Summer,Atlanta,Diving,Diving Women's Springboard,
